"One-Time Olympic Sports",
"Roque",
"Jeu De Paume",
"Rugby Sevens",
"Croquet",
"Racquets",
"Motorboating",
"Aeronautics",
"Basque Pelota",
"Military Ski Patrol",
"Cricket",
